Date,BTCUSDT Close,ETHUSDT Close
2021-10-03,47898.66000000,3404.97000000
2021-10-04,47468.79000000,3335.31000000
2021-10-05,49306.68000000,3387.96000000
2021-10-06,51513.81000000,3486.63000000
2021-10-07,54810.94000000,3519.54000000
2021-10-08,53815.22000000,3574.31000000
2021-10-09,54560.58000000,3579.48000000
2021-10-10,55049.15000000,3530.53000000
2021-10-11,56507.09000000,3518.15000000
2021-10-12,56711.35000000,3486.21000000
2021-10-13,56277.78000000,3501.88000000
2021-10-14,58065.99000000,3643.00000000
2021-10-15,59431.71000000,3820.92000000
2021-10-16,61655.99000000,3842.95000000
2021-10-17,61115.85000000,3878.16000000
2021-10-18,62123.87000000,3852.77000000
2021-10-19,62588.86000000,3823.01000000
2021-10-20,63844.67000000,3844.24000000
2021-10-21,65069.02000000,4185.82000000
2021-10-22,63237.90000000,4155.99000000
2021-10-23,61236.52000000,4023.90000000
2021-10-24,61227.76000000,4132.89000000
2021-10-25,62084.26000000,4134.69000000
2021-10-26,62758.02000000,4224.89000000
2021-10-27,60714.34000000,4209.72000000
2021-10-28,58839.80000000,3995.64000000
2021-10-29,61642.99000000,4379.83000000
2021-10-30,61679.95000000,4342.72000000
2021-10-31,61697.84000000,4370.49000000
2021-11-01,59922.98000000,4190.66000000
2021-11-02,61074.50000000,4318.83000000
2021-11-03,63210.41000000,4588.75000000
2021-11-04,62420.00000000,4556.41000000
2021-11-05,62203.80000000,4542.40000000
2021-11-06,61109.52000000,4491.01000000
2021-11-07,62133.04000000,4549.99000000
2021-11-08,65199.99000000,4720.51000000
2021-11-09,68490.00000000,4814.00000000
2021-11-10,66487.23000000,4691.48000000
2021-11-11,64746.18000000,4636.68000000
2021-11-12,64826.63000000,4774.35000000
2021-11-13,63773.94000000,4639.50000000
2021-11-14,64637.81000000,4628.63000000
2021-11-15,65712.65000000,4702.07000000
2021-11-16,60907.41000000,4309.58000000
2021-11-17,59039.99000000,4122.11000000
2021-11-18,59840.01000000,4279.50000000
2021-11-19,55900.00000000,4010.67000000
2021-11-20,58513.10000000,4280.55000000
2021-11-21,58674.67000000,4343.29000000
2021-11-22,57383.39000000,4164.99000000
2021-11-23,56947.82000000,4178.58000000
2021-11-24,56399.99000000,4246.71000000
2021-11-25,57749.99000000,4317.20000000
2021-11-26,57900.91000000,4426.63000000
2021-11-27,54347.07000000,4115.01000000
2021-11-28,54137.31000000,4026.03000000
2021-11-29,57359.02000000,4306.75000000
2021-11-30,57092.92000000,4435.24000000
2021-12-01,57362.01000000,4759.37000000
2021-12-02,56300.12000000,4490.98000000
2021-12-03,56323.01000000,4493.15000000
2021-12-04,52000.00000000,4058.12000000
2021-12-05,49170.79000000,4162.80000000
2021-12-06,49018.47000000,4168.09000000
2021-12-07,50945.03000000,4341.57000000
2021-12-08,50110.91000000,4293.57000000
2021-12-09,49513.35000000,4359.41000000
2021-12-10,48373.48000000,4140.86000000
2021-12-11,48296.99000000,4008.53000000
2021-12-12,49305.70000000,4042.76000000
2021-12-13,48873.19000000,3996.32000000
2021-12-14,46952.00000000,3775.14000000
2021-12-15,48262.41000000,3847.45000000
2021-12-16,48819.60000000,4018.08000000
2021-12-17,47766.07000000,3968.03000000
2021-12-18,46283.05000000,3877.23000000
2021-12-19,47712.38000000,3988.58000000
2021-12-20,46687.22000000,3906.62000000
2021-12-21,47928.47000000,4007.46000000
2021-12-22,49249.00000000,4048.60000000
2021-12-23,48524.11000000,3960.59000000
2021-12-24,51029.99000000,4092.03000000
2021-12-25,50844.14000000,4038.69000000
2021-12-26,49675.56000000,4013.21000000
2021-12-27,51009.02000000,4080.09000000
2021-12-28,49828.06000000,3960.70000000
2021-12-29,48001.01000000,3816.15000000
2021-12-30,46504.00000000,3649.41000000
2021-12-31,47201.85000000,3742.78000000
2022-01-01,46813.20000000,3723.96000000
2022-01-02,47329.47000000,3758.55000000
2022-01-03,46793.26000000,3785.00000000
2022-01-04,46313.97000000,3744.23000000
2022-01-05,46422.55000000,3809.45000000
2022-01-06,42835.00000000,3448.83000000
2022-01-07,41803.11000000,3238.74000000
2022-01-08,41810.91000000,3203.50000000
2022-01-09,41833.89000000,3120.57000000
2022-01-10,41967.59000000,3155.04000000
2022-01-11,42277.98000000,3120.20000000
2022-01-12,42605.02000000,3234.52000000
2022-01-13,43509.93000000,3338.04000000
2022-01-14,42623.87000000,3266.43000000
2022-01-15,42927.96000000,3307.49000000
2022-01-16,42977.22000000,3313.61000000
2022-01-17,42647.40000000,3258.22000000
2022-01-18,42040.54000000,3182.33000000
2022-01-19,41706.41000000,3099.38000000
2022-01-20,41924.97000000,3125.14000000
2022-01-21,38465.65000000,2837.22000000
2022-01-22,36341.64000000,2567.26000000
2022-01-23,35051.00000000,2416.68000000
2022-01-24,35338.26000000,2459.69000000
2022-01-25,36424.49000000,2415.76000000
2022-01-26,37389.76000000,2476.26000000
2022-01-27,35745.70000000,2364.87000000
2022-01-28,37351.83000000,2446.92000000
2022-01-29,37737.73000000,2541.48000000
2022-01-30,37917.13000000,2570.48000000
2022-01-31,37025.68000000,2512.07000000
2022-02-01,38596.82000000,2751.62000000
2022-02-02,38552.87000000,2781.05000000
2022-02-03,36820.83000000,2657.65000000
2022-02-04,37297.62000000,2682.99000000
2022-02-05,41447.85000000,2997.74000000
2022-02-06,41444.04000000,3008.60000000
2022-02-07,42818.99000000,3068.82000000
2022-02-08,44178.57000000,3146.45000000
2022-02-09,43343.28000000,3076.52000000
2022-02-10,43775.42000000,3179.60000000
2022-02-11,43343.71000000,3081.08000000
2022-02-12,42288.46000000,2934.20000000
2022-02-13,42230.00000000,2918.72000000
2022-02-14,41916.43000000,2865.64000000
2022-02-15,43567.76000000,3025.12000000
2022-02-16,43971.26000000,3141.00000000
2022-02-17,43583.05000000,3083.85000000
2022-02-18,40691.98000000,2907.36000000
2022-02-19,40125.12000000,2805.38000000
2022-02-20,39794.59000000,2713.12000000
2022-02-21,38919.25000000,2710.89000000
2022-02-22,36591.06000000,2519.26000000
2022-02-23,37750.67000000,2625.07000000
2022-02-24,34936.89000000,2397.41000000
2022-02-25,38923.36000000,2636.92000000
2022-02-26,39390.33000000,2793.59000000
2022-02-27,38606.81000000,2715.97000000
2022-02-28,37793.80000000,2608.05000000
2022-03-01,43147.71000000,2911.83000000
2022-03-02,44324.65000000,3016.64000000
2022-03-03,43305.77000000,2895.01000000
2022-03-04,41449.94000000,2725.33000000
2022-03-05,39050.62000000,2625.44000000
2022-03-06,39300.54000000,2639.26000000
2022-03-07,37869.45000000,2525.51000000
2022-03-08,38695.87000000,2549.27000000
2022-03-09,41217.73000000,2698.56000000
2022-03-10,40768.51000000,2658.38000000
2022-03-11,38714.97000000,2551.95000000
2022-03-12,39088.94000000,2583.86000000
2022-03-13,39194.08000000,2591.92000000
2022-03-14,38144.05000000,2534.07000000
2022-03-15,38768.41000000,2544.17000000
2022-03-16,39160.00000000,2620.40000000
2022-03-17,41014.71000000,2766.51000000
2022-03-18,40522.19000000,2777.15000000
2022-03-19,41793.66000000,2947.85000000
2022-03-20,41942.34000000,2933.39000000
2022-03-21,40832.93000000,2843.77000000
2022-03-22,42236.46000000,3006.83000000
2022-03-23,42073.94000000,2947.00000000
2022-03-24,42712.87000000,3016.63000000
2022-03-25,43968.16000000,3135.78000000
2022-03-26,44394.03000000,3108.44000000
2022-03-27,44713.01000000,3143.76000000
2022-03-28,47049.40000000,3311.94000000
2022-03-29,47335.06000000,3369.98000000
2022-03-30,47435.46000000,3384.11000000
2022-03-31,47095.56000000,3397.49000000
2022-04-01,44599.98000000,3250.29000000
2022-04-02,46599.93000000,3474.98000000
2022-04-03,45943.25000000,3456.26000000
2022-04-04,46005.44000000,3490.09000000
2022-04-05,46645.82000000,3523.92000000
2022-04-06,45215.88000000,3342.85000000
2022-04-07,43294.04000000,3185.57000000
2022-04-08,43605.96000000,3267.66000000
2022-04-09,42380.00000000,3209.88000000
2022-04-10,42785.72000000,3257.32000000
2022-04-11,42111.22000000,3175.31000000
2022-04-12,39747.13000000,2983.04000000
2022-04-13,40076.05000000,3049.09000000
2022-04-14,41320.00000000,3117.90000000
2022-04-15,40200.94000000,3042.00000000
2022-04-16,40434.12000000,3038.29000000
2022-04-17,40230.86000000,3029.38000000
2022-04-18,39813.17000000,2995.18000000
2022-04-19,40693.79000000,3037.58000000
2022-04-20,41386.14000000,3091.62000000
2022-04-21,41693.58000000,3096.80000000
2022-04-22,40502.11000000,2995.41000000
2022-04-23,39463.02000000,2946.32000000
2022-04-24,39776.57000000,2955.92000000
2022-04-25,39253.71000000,2875.59000000
2022-04-26,40535.29000000,3001.00000000
2022-04-27,38343.18000000,2836.28000000
2022-04-28,39342.07000000,2883.85000000
2022-04-29,39533.01000000,2926.21000000
2022-04-30,38656.37000000,2818.26000000
2022-05-01,38041.44000000,2777.15000000
2022-05-02,38674.10000000,2840.72000000
2022-05-03,38521.64000000,2851.00000000
2022-05-04,38013.62000000,2798.04000000
2022-05-05,39729.41000000,2941.60000000
2022-05-06,36461.82000000,2746.39000000
2022-05-07,35812.21000000,2669.42000000
2022-05-08,34480.24000000,2545.08000000
2022-05-09,33563.15000000,2457.56000000
2022-05-10,30642.55000000,2300.79000000
2022-05-11,31205.96000000,2360.53000000
2022-05-12,28406.15000000,1971.56000000
2022-05-13,30582.54000000,2096.46000000
2022-05-14,29569.89000000,2054.40000000
2022-05-15,29721.65000000,2014.20000000
2022-05-16,30323.23000000,2076.19000000
2022-05-17,30363.59000000,2073.49000000
2022-05-18,29831.40000000,2039.00000000
2022-05-19,29196.78000000,1953.70000000
2022-05-20,30175.03000000,2023.03000000
2022-05-21,29258.18000000,1967.75000000
2022-05-22,29363.50000000,1974.14000000
2022-05-23,30171.32000000,2030.84000000
2022-05-24,29299.92000000,1987.90000000
2022-05-25,30198.09000000,2014.20000000
2022-05-26,29837.16000000,1948.46000000
2022-05-27,29020.01000000,1768.00000000
2022-05-28,28819.20000000,1765.08000000
2022-05-29,28984.32000000,1776.46000000
2022-05-30,30353.07000000,1880.07000000
2022-05-31,31772.82000000,1994.51000000
2022-06-01,31627.30000000,1929.97000000
2022-06-02,29730.12000000,1814.54000000
2022-06-03,30529.96000000,1827.52000000
2022-06-04,29560.12000000,1752.96000000
2022-06-05,29766.95000000,1793.85000000
2022-06-06,31251.00000000,1878.29000000
2022-06-07,29563.62000000,1756.75000000
2022-06-08,30026.72000000,1779.50000000
2022-06-09,30293.49000000,1799.31000000
2022-06-10,30114.38000000,1792.49000000
2022-06-11,29272.43000000,1669.63000000
2022-06-12,27553.23000000,1466.97000000
2022-06-13,25520.05000000,1350.83000000
2022-06-14,22127.91000000,1174.10000000
2022-06-15,21455.80000000,1173.09000000
2022-06-16,22211.62000000,1210.10000000
2022-06-17,20383.38000000,1071.51000000
2022-06-18,20459.65000000,1079.47000000
2022-06-19,18311.09000000,953.20000000
2022-06-20,19980.49000000,1080.01000000
2022-06-21,20614.04000000,1130.89000000
2022-06-22,20317.88000000,1089.30000000
2022-06-23,20213.79000000,1076.40000000
2022-06-24,21073.73000000,1150.39000000
2022-06-25,21300.62000000,1223.76000000
2022-06-26,21426.23000000,1233.28000000
2022-06-27,21171.32000000,1219.91000000
2022-06-28,20735.03000000,1181.94000000
2022-06-29,20282.96000000,1144.89000000
2022-06-30,20077.01000000,1093.93000000
2022-07-01,19730.76000000,1054.52000000
2022-07-02,19130.90000000,1038.00000000
2022-07-03,19264.29000000,1062.45000000
2022-07-04,19103.54000000,1051.72000000
2022-07-05,20312.98000000,1153.13000000
2022-07-06,19951.47000000,1130.88000000
2022-07-07,20480.61000000,1176.17000000
2022-07-08,22130.56000000,1259.10000000
2022-07-09,21612.62000000,1217.01000000
2022-07-10,21294.98000000,1188.12000000
2022-07-11,20540.69000000,1154.58000000
2022-07-12,19942.33000000,1086.15000000
2022-07-13,19473.68000000,1052.34000000
2022-07-14,20224.24000000,1112.71000000
2022-07-15,20611.83000000,1199.92000000
2022-07-16,20738.00000000,1222.16000000
2022-07-17,21324.18000000,1353.60000000
2022-07-18,21280.02000000,1406.51000000
2022-07-19,21903.55000000,1516.24000000
2022-07-20,23436.85000000,1561.72000000
2022-07-21,22777.20000000,1487.96000000
2022-07-22,22909.90000000,1561.45000000
2022-07-23,22808.55000000,1571.00000000
2022-07-24,22331.86000000,1551.51000000
2022-07-25,21867.75000000,1511.51000000
2022-07-26,21141.53000000,1433.05000000
2022-07-27,21076.86000000,1424.76000000
2022-07-28,23133.45000000,1648.64000000
2022-07-29,23912.85000000,1727.02000000
2022-07-30,23801.35000000,1707.14000000
2022-07-31,23737.40000000,1693.74000000
2022-08-01,23375.62000000,1691.77000000
2022-08-02,22853.11000000,1577.35000000
2022-08-03,22862.72000000,1619.95000000
2022-08-04,23095.74000000,1651.14000000
2022-08-05,23175.32000000,1659.65000000
2022-08-06,23173.65000000,1734.47000000
2022-08-07,22990.10000000,1684.07000000
2022-08-08,23306.63000000,1709.77000000
