Date,BTCUSDT Close,ETHUSDT Close,ADAUSDT Close,SOLUSDT Close,SHIBUSDT Close,DOGEUSDT Close
2021-06-27,33146.91000000,1882.48000000,1.29490000,30.65000000,0.00000744,0.25162000
2021-06-28,34398.36000000,1967.62000000,1.31630000,31.44000000,0.00000778,0.25561000
2021-06-29,34577.16000000,2104.00000000,1.33050000,33.13300000,0.00000825,0.25502000
2021-06-30,35119.99000000,2126.58000000,1.33950000,32.24000000,0.00000896,0.25534000
2021-07-01,34120.01000000,2184.79000000,1.33770000,33.79400000,0.00000835,0.24306000
2021-07-02,32907.22000000,2041.20000000,1.30060000,32.19700000,0.00000811,0.24129000
2021-07-03,33524.47000000,2131.16000000,1.36950000,33.51700000,0.00000833,0.24317000
2021-07-04,34641.61000000,2209.73000000,1.40210000,33.81700000,0.00000860,0.24482000
2021-07-05,34350.89000000,2264.20000000,1.42320000,33.63000000,0.00000853,0.24188000
2021-07-06,33920.69000000,2238.17000000,1.42230000,33.34500000,0.00000860,0.23500000
2021-07-07,34446.50000000,2339.47000000,1.42880000,34.79900000,0.00000880,0.23499000
2021-07-08,33305.65000000,2253.36000000,1.38510000,36.61000000,0.00000828,0.21944000
2021-07-09,32941.81000000,2121.42000000,1.31970000,33.41200000,0.00000790,0.20386000
2021-07-10,33800.03000000,2133.98000000,1.34170000,33.28400000,0.00000797,0.21916000
2021-07-11,33448.97000000,2091.10000000,1.32790000,31.68600000,0.00000763,0.21187000
2021-07-12,34447.92000000,2163.80000000,1.36040000,32.53500000,0.00000796,0.21680000
2021-07-13,33071.14000000,2030.01000000,1.30760000,30.80000000,0.00000751,0.20578000
2021-07-14,31830.01000000,1884.33000000,1.21670000,28.15900000,0.00000679,0.18964000
2021-07-15,32641.65000000,1979.28000000,1.24380000,30.58200000,0.00000711,0.19522000
2021-07-16,31914.89000000,1949.04000000,1.23600000,29.16400000,0.00000699,0.18658000
2021-07-17,31306.56000000,1867.00000000,1.15980000,26.23200000,0.00000660,0.17080000
2021-07-18,32166.00000000,1981.77000000,1.21150000,27.49700000,0.00000686,0.19013000
2021-07-19,31541.57000000,1885.59000000,1.17130000,25.95600000,0.00000646,0.17882000
2021-07-20,29600.46000000,1728.59000000,1.05410000,22.86000000,0.00000587,0.16440000
2021-07-21,29845.10000000,1801.87000000,1.07220000,24.06400000,0.00000590,0.17525000
2021-07-22,31929.64000000,1976.59000000,1.16080000,26.30000000,0.00000643,0.19012000
2021-07-23,32594.46000000,2059.91000000,1.19560000,28.28100000,0.00000652,0.19218000
2021-07-24,33669.98000000,2138.61000000,1.21460000,28.70000000,0.00000646,0.19436000
2021-07-25,34160.85000000,2151.96000000,1.21570000,27.90200000,0.00000636,0.19321000
2021-07-26,38283.98000000,2317.03000000,1.32660000,30.10800000,0.00000685,0.22438000
2021-07-27,36823.80000000,2172.81000000,1.22940000,27.59500000,0.00000616,0.19869000
2021-07-28,39817.56000000,2288.26000000,1.27430000,27.97000000,0.00000626,0.20581000
2021-07-29,39609.78000000,2277.71000000,1.26420000,27.61200000,0.00000612,0.20307000
2021-07-30,39969.99000000,2422.21000000,1.31250000,32.75100000,0.00000637,0.20802000
2021-07-31,41810.01000000,2463.18000000,1.31340000,32.60700000,0.00000623,0.20870000
2021-08-01,42435.13000000,2616.50000000,1.37940000,36.09000000,0.00000649,0.21663000
2021-08-02,39785.59000000,2560.00000000,1.32040000,34.81200000,0.00000627,0.20467000
2021-08-03,38655.74000000,2533.69000000,1.28440000,33.21900000,0.00000629,0.20034000
2021-08-04,37976.81000000,2484.82000000,1.34090000,33.73800000,0.00000617,0.19550000
2021-08-05,39435.09000000,2712.01000000,1.37770000,37.23200000,0.00000622,0.20030000
2021-08-06,40219.47000000,2760.87000000,1.36810000,35.91600000,0.00000615,0.19945000
2021-08-07,43691.86000000,2935.12000000,1.44680000,40.06500000,0.00000670,0.21500000
2021-08-08,44322.42000000,3119.92000000,1.46160000,38.71100000,0.00000822,0.26399000
2021-08-09,43496.09000000,2948.31000000,1.41980000,37.28800000,0.00000739,0.24098000
2021-08-10,45708.76000000,3115.39000000,1.46030000,39.80200000,0.00000755,0.25152000
2021-08-11,45585.66000000,3159.11000000,1.71120000,41.75800000,0.00000769,0.26210000
2021-08-12,45927.00000000,3211.95000000,1.83390000,42.98500000,0.00000811,0.28668000
2021-08-13,44847.26000000,3088.22000000,1.87100000,42.25300000,0.00000777,0.26774000
2021-08-14,47540.00000000,3295.49000000,2.12080000,44.09600000,0.00000809,0.28889000
2021-08-15,46874.81000000,3247.62000000,2.15250000,44.57300000,0.00000809,0.30012000
2021-08-16,47357.62000000,3260.94000000,2.11190000,58.60500000,0.00000837,0.33225000
2021-08-17,46417.00000000,3194.69000000,2.12350000,71.83600000,0.00000924,0.32810000
2021-08-18,45055.78000000,3049.87000000,1.97890000,65.79200000,0.00000812,0.29860000
2021-08-19,44046.97000000,2966.99000000,2.08090000,69.66600000,0.00000788,0.29715000
2021-08-20,47054.74000000,3217.83000000,2.39790000,72.38800000,0.00000840,0.31630000
2021-08-21,48828.17000000,3276.44000000,2.49070000,79.65700000,0.00000843,0.32572000
2021-08-22,48790.00000000,3226.01000000,2.49650000,74.30700000,0.00000814,0.31461000
2021-08-23,50260.00000000,3340.22000000,2.80690000,75.39100000,0.00000827,0.32113000
2021-08-24,49331.16000000,3324.33000000,2.84530000,78.24400000,0.00000812,0.31250000
2021-08-25,47975.93000000,3175.00000000,2.72620000,70.66300000,0.00000757,0.28944000
2021-08-26,47911.79000000,3148.84000000,2.63940000,70.74300000,0.00000730,0.28186000
2021-08-27,46822.23000000,3094.26000000,2.53500000,81.40000000,0.00000691,0.26910000
2021-08-28,48852.99000000,3244.46000000,2.84600000,86.30000000,0.00000736,0.29060000
2021-08-29,48227.31000000,3180.28000000,2.74700000,93.95000000,0.00000710,0.28010000
2021-08-30,47964.04000000,3161.64000000,2.80000000,97.63000000,0.00000702,0.28050000
2021-08-31,47150.68000000,3237.78000000,2.79100000,115.19000000,0.00000679,0.27490000
2021-09-01,47043.65000000,3442.15000000,2.76200000,111.24000000,0.00000675,0.27620000
