Date,Open,High,Low,Close,Volume,OpenInterest
1643518800.0,38100.02000000,38300.00000000,38087.02000000,38139.39000000,781.35435000,0.0
1643522400.0,38139.38000000,38152.79000000,38038.95000000,38098.51000000,815.26190000,0.0
1643526000.0,38098.51000000,38290.00000000,38098.51000000,38244.98000000,585.29997000,0.0
1643529600.0,38244.98000000,38359.26000000,37966.15000000,38000.00000000,1156.08695000,0.0
1643533200.0,37999.99000000,38073.45000000,37795.00000000,37889.48000000,1518.69315000,0.0
1643536800.0,37889.49000000,38189.19000000,37829.00000000,38184.74000000,1234.86371000,0.0
1643540400.0,38184.74000000,38259.14000000,37958.13000000,38110.02000000,803.22993000,0.0
1643544000.0,38110.03000000,38153.82000000,37849.53000000,37938.47000000,719.04878000,0.0
1643547600.0,37937.21000000,37998.99000000,37823.08000000,37963.22000000,549.75372000,0.0
1643551200.0,37963.21000000,37999.90000000,37712.05000000,37838.99000000,925.66020000,0.0
1643554800.0,37839.00000000,38041.32000000,37778.20000000,37980.09000000,739.66710000,0.0
1643558400.0,37977.47000000,38074.76000000,37800.00000000,37832.44000000,586.32887000,0.0
1643562000.0,37832.45000000,37994.87000000,37751.72000000,37991.00000000,554.76321000,0.0
1643565600.0,37991.00000000,38020.39000000,37813.79000000,37820.95000000,491.34455000,0.0
1643569200.0,37820.96000000,37827.14000000,37442.52000000,37512.37000000,1718.81204000,0.0
1643572800.0,37512.37000000,37740.00000000,37351.63000000,37684.45000000,1037.92256000,0.0
1643576400.0,37684.45000000,37762.60000000,37492.25000000,37729.00000000,874.06052000,0.0
1643580000.0,37729.00000000,37855.54000000,37625.41000000,37785.78000000,734.65855000,0.0
1643583600.0,37785.78000000,38230.00000000,37778.46000000,37881.76000000,1728.81180000,0.0
1643587200.0,37881.75000000,37951.07000000,36828.32000000,36829.30000000,2907.71096000,0.0
1643590800.0,36829.30000000,36960.67000000,36760.87000000,36821.05000000,1423.26744000,0.0
1643594400.0,36823.19000000,37004.55000000,36632.61000000,36993.58000000,1846.10363000,0.0
1643598000.0,36994.69000000,37058.82000000,36925.27000000,37025.68000000,961.28704000,0.0
1643601600.0,37025.68000000,37026.29000000,36811.48000000,36912.84000000,744.81356000,0.0
1643605200.0,36912.84000000,37019.76000000,36850.00000000,37001.65000000,744.80275000,0.0
1643608800.0,37001.66000000,37077.46000000,36916.78000000,36916.78000000,831.06345000,0.0
1643612400.0,36916.79000000,37196.91000000,36880.60000000,37121.83000000,827.67942000,0.0
1643616000.0,37121.84000000,37211.12000000,37100.71000000,37145.63000000,1032.91464000,0.0
1643619600.0,37144.71000000,37256.14000000,37085.23000000,37212.53000000,714.57733000,0.0
1643623200.0,37212.53000000,37350.00000000,37156.80000000,37300.31000000,812.93941000,0.0
1643626800.0,37300.31000000,37399.93000000,36880.00000000,37265.16000000,1460.26909000,0.0
1643630400.0,37265.15000000,37421.30000000,36828.52000000,37081.15000000,1665.85750000,0.0
1643634000.0,37084.17000000,37347.83000000,36724.00000000,37251.08000000,1706.02333000,0.0
1643637600.0,37251.07000000,37524.78000000,37193.77000000,37510.84000000,2024.77703000,0.0
1643641200.0,37510.85000000,37900.00000000,37510.84000000,37722.91000000,3594.15508000,0.0
1643644800.0,37722.91000000,38414.00000000,37671.46000000,38341.99000000,3171.08823000,0.0
1643648400.0,38341.99000000,38600.00000000,38122.83000000,38473.03000000,3055.46443000,0.0
1643652000.0,38473.03000000,38600.00000000,38342.89000000,38468.29000000,1319.70238000,0.0
1643655600.0,38468.29000000,38744.00000000,38383.91000000,38415.79000000,1944.84957000,0.0
1643659200.0,38415.79000000,38563.37000000,38236.69000000,38450.62000000,1639.69627000,0.0
1643662800.0,38450.62000000,38531.53000000,38335.00000000,38410.09000000,923.75238000,0.0
1643666400.0,38410.09000000,38737.99000000,38398.58000000,38412.46000000,927.84680000,0.0
1643670000.0,38412.45000000,38510.28000000,38336.04000000,38466.90000000,574.60408000,0.0
1643673600.0,38466.90000000,38627.35000000,38276.43000000,38342.36000000,1058.42599000,0.0
1643677200.0,38342.37000000,38407.00000000,38175.86000000,38238.19000000,777.86310000,0.0
1643680800.0,38238.18000000,38506.18000000,38196.61000000,38480.90000000,766.83847000,0.0
1643684400.0,38480.90000000,38649.90000000,38384.99000000,38596.82000000,946.45649000,0.0
1643688000.0,38596.82000000,38644.57000000,38470.37000000,38556.82000000,758.92782000,0.0
1643691600.0,38556.83000000,38618.67000000,38444.26000000,38452.90000000,703.01456000,0.0
1643695200.0,38452.89000000,38482.91000000,38240.00000000,38285.02000000,1246.89537000,0.0
1643698800.0,38285.01000000,38462.69000000,38281.16000000,38440.77000000,708.07030000,0.0
1643702400.0,38440.76000000,38624.24000000,38398.54000000,38597.53000000,793.02544000,0.0
1643706000.0,38597.54000000,39100.00000000,38224.41000000,38256.12000000,4270.80387000,0.0
1643709600.0,38256.12000000,38367.16000000,38000.00000000,38253.57000000,2105.11598000,0.0
1643713200.0,38255.46000000,38471.43000000,38204.79000000,38425.06000000,1032.06336000,0.0
1643716800.0,38425.05000000,38800.00000000,38372.00000000,38650.00000000,1456.53967000,0.0
1643720400.0,38650.01000000,38965.99000000,38454.00000000,38872.21000000,1951.15553000,0.0
1643724000.0,38872.20000000,39034.47000000,38304.52000000,38509.46000000,3170.70783000,0.0
1643727600.0,38509.46000000,38649.57000000,38190.42000000,38630.33000000,2242.40938000,0.0
1643731200.0,38630.32000000,39265.20000000,38587.96000000,39110.89000000,3016.77143000,0.0
1643734800.0,39110.89000000,39171.94000000,38655.35000000,38867.24000000,1950.07901000,0.0
1643738400.0,38868.01000000,38900.00000000,38460.20000000,38533.15000000,1130.81481000,0.0
1643742000.0,38533.14000000,38595.60000000,38341.06000000,38378.09000000,1211.90981000,0.0
1643745600.0,38378.10000000,38735.63000000,38369.00000000,38512.08000000,1134.06888000,0.0
1643749200.0,38512.86000000,38819.00000000,38490.00000000,38785.53000000,907.43829000,0.0
1643752800.0,38785.52000000,38853.23000000,38532.45000000,38697.55000000,629.43065000,0.0
1643756400.0,38697.56000000,38889.00000000,38602.30000000,38694.59000000,605.62059000,0.0
1643760000.0,38694.59000000,38855.92000000,38429.03000000,38557.27000000,1187.94325000,0.0
1643763600.0,38557.27000000,38668.84000000,38374.78000000,38439.76000000,1052.16968000,0.0
1643767200.0,38439.76000000,38665.69000000,38385.19000000,38622.81000000,505.64740000,0.0
1643770800.0,38619.71000000,38749.99000000,38544.87000000,38552.87000000,555.13134000,0.0
1643774400.0,38552.87000000,38555.33000000,38378.65000000,38423.44000000,1141.11423000,0.0
1643778000.0,38423.44000000,38519.78000000,38300.00000000,38416.38000000,932.70530000,0.0
1643781600.0,38416.38000000,38541.27000000,38196.42000000,38277.51000000,915.23311000,0.0
1643785200.0,38281.18000000,38388.46000000,38200.00000000,38284.69000000,754.53449000,0.0
1643788800.0,38282.14000000,38465.21000000,38225.00000000,38447.49000000,1014.70067000,0.0
1643792400.0,38447.50000000,38564.87000000,38388.00000000,38530.85000000,901.66424000,0.0
1643796000.0,38530.10000000,38597.95000000,38359.08000000,38566.26000000,922.64730000,0.0
1643799600.0,38566.25000000,38577.21000000,38427.02000000,38490.00000000,601.82559000,0.0
1643803200.0,38490.00000000,38773.41000000,38468.80000000,38723.99000000,1257.76358000,0.0
1643806800.0,38724.00000000,38772.24000000,38335.83000000,38361.61000000,1421.44402000,0.0
1643810400.0,38361.61000000,38437.02000000,37611.00000000,37703.72000000,4280.39457000,0.0
1643814000.0,37703.72000000,37824.17000000,37361.49000000,37429.78000000,3502.09292000,0.0
1643817600.0,37429.78000000,37435.90000000,37066.66000000,37336.71000000,3497.25132000,0.0
1643821200.0,37336.71000000,37550.00000000,37269.25000000,37469.99000000,1308.70536000,0.0
1643824800.0,37469.99000000,37530.98000000,37380.01000000,37486.42000000,880.98096000,0.0
1643828400.0,37486.41000000,37674.34000000,37401.75000000,37566.56000000,1166.16549000,0.0
1643832000.0,37566.56000000,37662.14000000,37400.17000000,37566.00000000,1479.58286000,0.0
1643835600.0,37566.00000000,37612.66000000,36586.95000000,36922.51000000,3452.00636000,0.0
1643839200.0,36922.51000000,37211.00000000,36820.50000000,37006.93000000,1538.78106000,0.0
1643842800.0,37006.93000000,37133.16000000,36797.18000000,36896.36000000,1524.19620000,0.0
1643846400.0,36896.37000000,37049.65000000,36763.40000000,36878.39000000,1812.53895000,0.0
1643850000.0,36878.38000000,36996.39000000,36753.00000000,36845.52000000,1106.46884000,0.0
1643853600.0,36845.52000000,36958.97000000,36720.01000000,36958.68000000,1068.81062000,0.0
1643857200.0,36958.67000000,36960.00000000,36772.11000000,36820.83000000,629.52766000,0.0
1643860800.0,36822.50000000,36957.00000000,36780.04000000,36906.99000000,639.91773000,0.0
1643864400.0,36906.99000000,37081.55000000,36834.32000000,36991.62000000,1910.09664000,0.0
1643868000.0,36991.63000000,37006.56000000,36835.14000000,36924.01000000,1083.97686000,0.0
1643871600.0,36924.01000000,37093.03000000,36916.61000000,37024.16000000,969.40725000,0.0
1643875200.0,37024.16000000,37106.91000000,36925.25000000,37077.65000000,851.30612000,0.0
1643878800.0,37077.66000000,37090.00000000,36593.40000000,36614.91000000,1339.46411000,0.0
1643882400.0,36614.90000000,36666.67000000,36250.73000000,36378.83000000,2413.18982000,0.0
1643886000.0,36378.83000000,36796.44000000,36292.61000000,36785.00000000,1771.47993000,0.0
1643889600.0,36785.00000000,36791.98000000,36250.00000000,36694.00000000,1897.12482000,0.0
1643893200.0,36690.76000000,36774.58000000,36451.00000000,36585.08000000,1362.70695000,0.0
1643896800.0,36585.08000000,36792.17000000,36484.00000000,36505.71000000,1696.69851000,0.0
1643900400.0,36505.71000000,36976.89000000,36474.92000000,36910.05000000,1915.37708000,0.0
1643904000.0,36910.06000000,37104.60000000,36686.65000000,36687.00000000,1339.84919000,0.0
1643907600.0,36686.65000000,36886.30000000,36518.13000000,36831.51000000,1071.90257000,0.0
1643911200.0,36831.52000000,36853.03000000,36698.00000000,36762.69000000,799.74746000,0.0
1643914800.0,36762.69000000,36830.00000000,36449.43000000,36551.70000000,1198.85605000,0.0
1643918400.0,36551.71000000,36644.05000000,36270.00000000,36367.40000000,1199.79905000,0.0
1643922000.0,36367.43000000,37050.00000000,36357.87000000,36948.99000000,1911.35564000,0.0
1643925600.0,36949.00000000,37016.42000000,36800.01000000,36933.16000000,705.28717000,0.0
